0.1	13.98	171.95
0.2	12.91	170.29
0.3	36.12	166.24
0.4	12.54	154.34
0.5	22.46	148.44
0.6	11.13	146.3
0.7	27.96	143.59
0.8	46.29	141.28
0.9	70.42	141.27
1	63.04	125.53
1.1	58.77	95.61
1.2	101.13	75.74
1.3	96.63	61.68
1.4	84.75	57.43
1.5	90.62	57.45
1.6	108.65	54.44
1.7	94.65	67.52
1.8	60.95	80.84
1.9	61.85	91.91
2	84.95	103.12
2.1	52.36	82.45
2.2	48.32	117.12
2.3	30.92	94.13
2.4	101.96	95.08
2.5	61.2	116.13
2.6	37.45	83.02
2.7	78.73	93.82
2.8	60.42	63.9
2.9	76.95	55.89
3	85.63	55.83
3.1	71.98	49.73
3.2	63.8	47.09
3.3	62.99	56.03
3.4	82.77	74.23
3.5	32.52	71
3.6	66.46	111.12
3.7	44.54	89.09
3.8	56.59	116.35
3.9	39.81	130.47
4	61.14	136.88
4.1	83.94	134.52
4.2	80.6	127.28
4.3	76.39	108
4.4	88.17	92.24
4.5	78.21	53.08
4.6	95.45	50.37
4.7	89.99	43.7
4.8	65.22	40.83
4.9	66.3	40.67
5	62.56	50.81
5.1	54.57	59.66
5.2	46	96.3
5.3	78.05	105.01
5.4	55.95	117.94
5.5	50.16	127.86
5.6	41.7	135.96
5.7	50.96	141.24
5.8	76.22	144.23
5.9	57.83	132.86
6	94.84	127.59
6.1	56.07	117.11
6.2	97.11	105.36
6.3	61.4	92.03
6.4	70.58	77.23
6.5	73.37	67.94
6.6	53.16	48.83
6.7	57.8	47.56
6.8	58.7	52.13
6.9	42.81	71.58
7	73.96	86.48
7.1	52.43	92.82
7.2	81.46	102.89
7.3	39.86	111.55
7.4	65.84	118.66
7.5	43.53	124.49
7.6	86.84	128.09
7.7	53.05	93.56
7.8	82.1	85.22
7.9	51.7	99.53
8	108.55	87.58
8.1	72.74	77.41
8.2	101.13	60.5
8.3	98.02	47.69
8.4	84.84	47.16
8.5	33.95	50.67
8.6	56.91	59.54
8.7	77.33	81.31
8.8	69.89	75.17
8.9	18.99	104.97
9	42.59	83.45
9.1	70.29	92.33
9.2	54.69	97.3
9.3	73.4	127.35
9.4	82.09	95.11
9.5	102.93	113.41
9.6	110.38	100.24
9.7	108.11	84.55
9.8	60.86	69.4
9.9	72.91	69.25
10	90.78	50.26
10.1	57.35	46.43
10.2	96.58	44.32
10.3	84.37	52.7
10.4	77.15	53.77
10.5	50.88	64.43
10.6	52.3	70.37
10.7	24.17	84.97
10.8	65.95	87.81
10.9	40.37	92.88
11	43.93	96.65
11.1	63.64	130.58
11.2	78.64	129.91
11.3	90.22	90.13
11.4	53.98	101.34
11.5	75.68	94.25
11.6	92.26	78.34
11.7	57.16	71
11.8	64.87	64.2
11.9	97.65	48.31
12	70.06	46.43
12.1	47.88	58.85
12.2	67.21	57.29
12.3	81.54	82.06
12.4	79.29	73.2
12.5	66.37	100.51
12.6	62.35	111.65
12.7	54.36	120.61
12.8	63.3	122.91
12.9	63.51	123.56
13	59.94	133.28
13.1	62.02	131.72
13.2	79.19	112.1
13.3	73.32	87.88
13.4	70.95	87.78
13.5	94.81	84.91
13.6	79.28	70.96
13.7	57.12	57.05
13.8	48.17	54.62
13.9	81.65	46.11
14	74.19	48.03
14.1	62.51	55.35
14.2	75.76	80.9
14.3	28.81	96.57
14.4	83.37	71.34
14.5	27.26	110.32
14.6	31.09	126.07
14.7	6.75	133.8
14.8	4.32	137.82
14.9	22.13	140.88
15	29.78	145.98
15.1	37.18	148.81
15.2	46.01	152.61
15.3	23.38	152.77
15.4	48.92	148.39
15.5	31.84	142.51
15.6	56.34	129.54
15.7	48.84	115.81
15.8	38.1	105.07
15.9	42.83	90.97
16	51.07	94.14
16.1	34.44	88.24
16.2	26.34	89.79
16.3	32.42	90.41
16.4	6.42	98.35
16.5	30.71	111.56
16.6	5.47	113.06
16.7	5.34	90.08
16.8	6.59	23.32
16.9	10.46	179.41
17	4.23	179.34
17.1	5.82	179.29
17.2	9.01	179.14
17.3	6.79	173.65
17.4	3.77	170.89
17.5	4.33	122.12
17.6	5.82	128.47
17.7	10.77	145.54
17.8	4.99	143.77
17.9	26.85	143.81
18	9.21	145.68
18.1	8.45	147.62
18.2	3.25	148.89
18.3	6.58	155.67
18.4	3.84	150.54
18.5	7.41	149.57
18.6	10.31	149.67
18.7	7.94	14
