1	84	127	32	1	5	14	-8	45	53
2	-115	-30	15	64	-44	-7	14	-20	54.71
3	69	55	-105	-70	22	5	-18	50	52.73
4	-33	-47	-44	-9	-24	101	-28	6	52.73
5	35	-105	-124	-2	64	-87	60	-66	51.14
6	39	-118	-104	-40	10	-23	-61	4	50.76
7	7	-128	-93	-104	-128	11	-102	-113	50.59
8	106	127	-76	-60	-5	83	-107	93	50.59
9	3	118	112	104	-29	86	-1	-75	48.42
10	64	-83	-122	-83	34	41	-30	14	46.34
11	71	-128	-77	-10	83	12	-34	-26	44.26
12	-18	-66	-77	-66	-70	-52	-14	42	44.05
13	-61	-86	-1	-23	-30	1	69	15	44.05
14	78	63	22	54	88	127	-128	67	43.91
15	65	-27	-62	-46	-123	-108	127	-11	47.33
16	65	6	-20	-4	-16	-4	-12	-25	48.41
17	45	97	-38	-28	16	35	0	56	48.41
18	-63	-11	57	71	-31	34	-128	32	49.1
19	77	70	-13	-39	33	19	76	42	49.97
20	6	17	31	23	-20	-71	121	-51	49.82
21	-82	-6	5	-6	49	71	32	-24	49.82
22	103	125	20	25	-37	13	-41	50	65.92
23	44	45	-69	-41	73	62	-90	73	61.18
24	25	14	-5	-3	23	92	-128	31	61.35
25	32	80	26	28	-92	-109	65	-10	61.35
26	3	-16	-22	-17	83	127	-115	85	62.24
27	76	22	0	-13	-32	-56	-26	-4	66.53
28	81	-104	-45	39	6	0	-40	10	74.7
29	91	89	-3	-52	-3	110	-4	50	74.7
30	-74	-12	9	12	-53	-128	127	-76	77.33
31	76	71	15	19	-26	-50	64	25	82.63
32	-97	-45	15	26	20	-19	112	-40	82.63
33	-33	13	23	13	-128	-92	-59	66	90.7
34	-107	-108	-16	-8	-64	-91	126	-81	90.91
35	45	32	-16	31	58	59	24	47	92.3
36	-6	46	8	61	-27	28	-60	37	108.94
37	127	98	-8	-19	16	54	-24	27	102.24
38	-23	38	13	8	-49	-24	-93	4	106.07
39	2	4	11	-6	-16	-11	11	14	106.07
40	-35	57	16	-5	-4	12	-5	4	117.67
41	-23	-3	-8	-22	-45	2	-128	-24	117.88
42	60	11	-1	9	19	47	-6	42	117.88
43	67	-88	-29	-25	-14	-15	-37	-24	116.69
44	75	66	0	-12	-42	-110	-21	-51	124.57
45	-22	0	-10	-14	27	73	-69	27	126.82
46	-59	33	4	-3	-2	-23	54	-14	126.82
47	27	3	10	0	-32	-102	22	23	128.46
48	72	7	-2	0	31	65	-1	48	129.87
49	-92	-102	-22	-9	4	-16	-12	-35	131.68
50	-99	-66	10	2	5	46	-17	6	131.68
51	-62	11	-8	3	27	127	-54	34	142.65
52	71	-79	-18	8	37	117	57	-34	142.25
53	-105	-124	-59	-13	18	89	-114	44	141.45
54	-114	-52	-52	-73	-128	-128	-128	-103	141.45
55	-48	-100	0	-18	23	82	4	11	132.26
56	127	105	14	19	-60	-128	16	-14	130.04
57	102	116	13	-14	-128	-128	-47	-112	130.04
58	-100	-94	0	5	3	127	-100	-28	122.48
59	-57	-48	127	39	-46	-95	-20	36	120.33
60	-128	-128	47	25	89	127	-77	17	116.53
61	7	54	-3	-38	-30	66	72	6	116.53
62	68	-28	29	61	5	-108	119	-69	112.13
63	127	127	-114	-98	-64	-23	35	20	107
64	127	93	-29	14	61	127	-128	124	103.48
65	117	127	96	-3	28	24	68	94	101.25
66	105	70	-57	-75	41	54	-15	-17	101.25
67	55	100	-25	51	-111	-89	28	-31	96.71
68	31	75	-106	-76	-102	-109	86	-66	90.94
69	108	-18	-20	4	13	127	-72	109	79.27
70	-102	-100	-128	-67	-21	-69	-11	-126	79.27
71	75	-101	-111	13	64	-45	53	13	82.08
72	81	19	-128	-42	-5	-92	115	-18	79.17
73	-42	33	-45	127	-46	127	-128	91	76.52
74	15	-116	49	44	33	118	-6	-2	71.53
75	13	29	15	-13	58	78	-85	-32	71.53
76	-57	30	84	56	24	-41	27	27	68
77	58	32	60	104	64	127	-128	65	64.97
78	76	-19	-56	-27	102	-128	83	68	61.09
79	49	-90	-48	-50	-69	-128	127	5	61.09
