0.1	37.58	179.62
0.2	15.61	179.62
0.3	37.88	179.62
0.4	75.14	119.57
0.5	28.72	124.61
0.6	61.23	126.07
0.7	73.69	130.21
0.8	31.71	129.32
0.9	52.24	117.72
1	50.34	110.49
1.1	71.38	102.17
1.2	73.42	94.99
1.3	91.45	93.06
1.4	55.05	86.03
1.5	63.23	82.39
1.6	65.4	77.67
1.7	70	74.63
1.8	41.4	73.05
1.9	38.15	75.06
2	87.79	80.02
2.1	32.05	89.38
2.2	26.53	95.91
2.3	23.65	102.77
2.4	55.26	103.05
2.5	54.48	108.75
2.6	27.37	115.22
2.7	62.33	115.94
2.8	48.33	118.83
2.9	34.24	124.05
3	37.65	123.74
3.1	36.81	135.77
3.2	59.96	135.1
3.3	58.61	138.41
3.4	32.17	139.35
3.5	48.7	138.56
3.6	75.06	128.28
3.7	62.29	120.99
3.8	63.77	103.5
3.9	80.63	104.76
4	30.64	100.17
4.1	59.92	95.75
4.2	80.9	91.57
4.3	57.72	86.44
4.4	50.21	71.76
4.5	48.59	73.19
4.6	63.42	95.03
4.7	28.5	94.21
4.8	42.52	103.43
4.9	51.08	100.2
5	78.7	103.19
5.1	37.41	104.48
5.2	67.93	114.26
5.3	62.09	118.08
5.4	42.24	117.63
5.5	21.74	120.46
5.6	18.28	122.44
5.7	12.54	123.16
5.8	23.05	137.51
5.9	50.17	137.15
6	57.99	136.89
6.1	52.06	126.57
6.2	50.72	116.03
6.3	54.01	107.3
6.4	44.01	102.79
6.5	37.44	97.84
6.6	67.91	95.41
6.7	59.59	86.92
6.8	41.44	87.54
6.9	28.93	85.15
7	16.34	86.35
7.1	24.19	93.86
7.2	38.09	98.5
7.3	27.73	105.53
7.4	31.1	111.89
7.5	30.86	125.98
7.6	38.74	131.03
7.7	45.18	136
7.8	12.23	142.81
7.9	12.47	141.66
8	6.94	141.7
8.1	2.5	141.76
8.2	6.84	142.59
8.3	5.77	141.33
8.4	4.49	142.56
8.5	12.08	139.46
8.6	4.9	140.01
8.7	11.44	139.39
8.8	5.45	140.44
8.9	11.05	143.07
9	14.59	143.01
9.1	15.56	143.75
9.2	11.79	138.47
9.3	18.06	139.94
9.4	17.47	141.88
9.5	11.73	145.07
9.6	14.8	148.93
9.7	8.16	151.38
9.8	16.94	151.87
9.9	10.65	155.02
10	12.89	159
10.1	17.46	162.25
10.2	5.05	164.9
10.3	10	167.52
10.4	18.56	169.02
10.5	8.54	169.92
10.6	22.9	169.55
10.7	15.95	169.74
10.8	44.12	169.79
10.9	9.02	169.22
11	8.41	169.56
11.1	4.33	169.21
11.2	5.02	168.93
11.3	5.14	169.22
11.4	1.76	169.29
11.5	1.53	169.44
11.6	2.27	169.5
11.7	4.84	169.96
11.8	5.44	170.03
11.9	2.92	170.47
12	31.26	170.17
12.1	17.3	170.44
12.2	9.15	170.37
12.3	5.46	170.31
12.4	33.81	170.7
12.5	52.74	171.14
12.6	27.75	171.28
12.7	12.01	164.36
12.8	9.77	152.05
12.9	14.34	146.37
13	13.75	137.63
13.1	21.55	141.02
13.2	20.71	141.94
13.3	4.85	140.9
13.4	25.66	139.19
13.5	8.37	138.25
13.6	6.58	136.78
13.7	11.76	136.76
13.8	9.91	135.76
13.9	10.66	136.47
14	45.75	138.93
14.1	41.22	142.08
14.2	51.68	142.36
14.3	46.98	139.15
14.4	61.35	131.11
14.5	31.24	117.62
14.6	66.16	110.97
14.7	40.1	104.24
14.8	58.23	98.87
14.9	41.79	95.64
15	27.31	90.61
15.1	69.82	87.51
15.2	65.84	86.47
15.3	51.81	89.75
15.4	23.11	97.13
15.5	32.2	103.69
15.6	71.73	111.25
15.7	73.35	115.72
15.8	66.9	120.48
15.9	67.1	124.34
16	32.35	128.21
16.1	50.93	130.64
16.2	72.52	132.46
16.3	48.72	134.05
16.4	44.64	134.21
16.5	49.25	127.64
16.6	68.8	120.14
16.7	61.63	113.92
16.8	78.69	107.98
16.9	83.62	103.75
17	78.93	100.35
17.1	56.92	93.93
17.2	62.21	91.79
