-21	-8	24	9	2	3	2	1
-24	-4	24	71	13	0	4	1
-23	-1	23	8	4	1	4	1
-22	-2	22	22	-15	8	5	1
-18	0	18	36	-32	11	3	1
-21	7	23	24	-30	13	4	1
-13	6	15	11	-32	9	7	1
-11	9	14	10	-36	9	11	1
-7	11	13	21	-24	9	5	1
-2	18	18	-6	3	0	40	1
-5	11	13	-1	0	-3	30	2
-4	14	15	1	-1	4	16	2
-4	15	15	-7	-4	6	31	3
-4	12	13	-27	-11	3	18	3
-2	10	11	-13	-16	0	13	3
1	10	10	-14	-21	4	13	3
3	6	6	-17	-18	5	9	3
4	5	7	-12	-19	4	5	3
6	5	8	-10	-19	6	4	3
8	1	8	-6	1	3	3	3
8	1	8	-16	14	-2	21	3
7	0	7	-4	13	-6	13	4
4	3	5	6	13	-5	7	4
3	3	5	14	4	6	6	4
4	0	4	22	6	7	14	4
3	6	6	20	11	7	23	4
-2	8	8	20	16	-3	31	4
-3	9	10	1	9	-1	44	5
-3	9	10	20	19	-2	39	5
-4	11	12	23	9	2	30	5
-4	13	14	-8	16	-2	15	6
-8	10	14	-33	6	-12	28	6
-10	7	13	-4	0	-6	11	6
-8	8	11	0	-1	3	32	7
-15	-7	17	-20	-21	-25	16	7
-5	5	8	-8	-6	-14	56	7
-4	6	7	8	4	-3	41	8
-7	3	8	9	12	0	71	9
-6	7	10	1	13	-1	52	9
-10	5	11	11	13	7	60	10
-13	5	14	-18	2	-4	60	11
-37	-5	39	-10	3	-3	36	11
-6	7	9	-20	-21	5	16	12
-7	-3	8	4	-16	2	17	12
5	8	10	-9	-19	3	4	12
-6	6	9	-3	-21	5	25	12
-3	3	4	-25	-24	3	17	12
14	0	14	-53	-10	-6	11	13
7	-5	9	-79	-12	4	6	13
1	-25	25	-36	-1	8	18	13
0	-21	21	-5	1	5	36	13
-4	-21	21	-1	6	3	67	14
-4	-21	22	0	2	3	43	14
5	-22	23	-11	3	5	41	15
-8	-23	25	-1	6	1	12	15
-7	-23	25	24	10	-12	5	15
-2	-18	18	-9	5	-19	19	15
1	-21	21	-27	2	-14	2	15
0	-21	21	-27	-1	-9	6	16
-1	-26	26	-22	1	1	3	16
0	-29	29	-1	-8	5	17	16
-2	-27	27	-7	-8	5	10	16
0	-30	30	2	0	3	7	16
0	-29	29	-3	2	-5	3	16
-1	-29	29	-5	-5	-5	7	16
0	-29	29	5	-13	-2	7	16
-4	-29	30	1	-19	9	8	16
16	-21	30	-5	-14	14	22	16
-1	-31	31	6	-5	11	15	16
-1	-28	28	-3	-1	2	20	17
-2	-32	32	-6	0	1	16	17
