0	11	1	11	-4	-1	7	12	12
0	12	0	12	-20	-8	0	5	17
0	14	-4	14	-6	-3	4	7	24
0.1	14	-5	15	3	0	3	12	36
0.2	13	-4	13	9	2	6	8	44
0.3	12	-4	13	28	2	18	7	50
0.4	17	-1	17	49	0	22	7	57
0.5	20	7	22	49	-6	11	3	60
0.6	18	13	24	57	-6	10	4	64
0.7	15	16	23	45	-22	35	5	69
0.8	21	16	29	9	-35	61	4	73
0.9	27	11	31	2	-34	75	3	76
1	33	2	33	2	-27	64	2	78
1.1	34	0	34	-9	-14	16	1	80
1.2	37	1	37	-14	-1	-25	4	84
1.3	38	2	38	-14	8	-38	2	86
1.4	39	2	39	-17	16	-36	1	87
1.5	38	3	38	-9	11	-24	1	88
1.6	37	3	38	-2	4	-7	1	89
1.7	37	3	38	3	-5	13	1	90
1.8	36	2	36	10	-5	25	2	92
1.9	35	3	35	-3	-8	35	2	94
2	37	1	37	-1	-8	27	1	95
2.1	37	-3	38	1	1	2	3	98
2.2	38	-1	38	-4	5	-18	2	101
2.3	37	0	37	-1	4	-29	6	107
2.4	36	1	36	6	-1	-41	22	129
2.5	33	11	40	15	-2	-81	60	189
2.6	20	25	43	28	0	-149	17	206
2.7	14	-18	24	-42	-12	-104	15	220
2.8	19	17	29	-61	0	237	19	240
2.9	23	21	40	-89	-27	206	10	249
3	20	-23	38	60	12	107	6	255
3.1	30	-10	35	-30	12	-9	6	262
3.2	36	-6	38	-25	2	-19	2	263
3.3	29	-13	36	11	0	-9	4	267
3.4	30	-11	37	1	-2	2	4	271
3.5	30	-11	35	10	-11	4	8	279
3.6	34	-6	36	3	-5	-1	4	282
3.7	34	-7	37	-6	1	-26	5	287
3.8	37	2	37	-4	12	-80	11	298
3.9	29	10	33	33	33	-111	27	325
4	20	20	32	-2	24	-132	25	351
4.1	11	30	36	14	-5	-124	21	371
4.2	9	9	13	29	-42	-93	16	387
4.3	12	18	22	-57	12	201	21	408
4.4	28	14	36	-26	-65	212	14	422
4.5	33	-8	36	38	2	125	10	432
4.6	32	-7	34	27	-2	16	7	439
4.7	34	-2	35	32	-4	-9	11	449
4.8	28	-11	33	-7	0	-5	5	454
4.9	29	-11	35	3	3	-1	7	461
5	30	-11	34	5	0	2	14	475
5.1	30	-9	34	1	-1	1	8	483
5.2	29	-11	34	-2	-1	-13	25	509
5.3	35	4	36	-9	7	-102	25	534
5.4	27	11	31	-4	15	-142	11	545
5.5	13	26	33	-1	1	-238	16	560
5.6	33	-12	-43	74	-69	-21	21	582
5.7	30	1	30	-23	-45	218	5	587
5.8	35	-1	35	-17	-25	169	3	590
5.9	26	-16	37	69	-6	67	6	596
6	33	0	33	21	-1	8	5	601
6.1	32	-5	34	-1	0	1	6	607
6.2	30	-8	32	-1	1	5	23	629
6.3	30	-8	33	-5	2	1	19	649
6.4	33	-6	36	-19	-1	-22	12	661
6.5	34	-4	34	-53	-8	-78	17	678
6.6	34	2	34	3	11	-105	35	713
6.7	25	14	32	-6	17	-135	21	733
6.8	16	21	30	-3	11	-120	12	746
6.9	6	35	38	-3	-24	-66	8	754
7	6	35	36	-13	9	6	12	766
7.1	4	31	32	1	-3	68	11	777
7.2	14	23	29	28	-24	84	6	783
7.3	22	13	27	-11	-15	82	4	788
7.4	28	9	31	-6	-15	80	5	793
7.5	35	2	35	3	-7	65	4	796
7.6	35	-2	35	9	0	38	7	803
7.7	32	-5	33	13	-1	18	7	810
7.8	34	-4	35	1	2	-14	6	816
7.9	34	2	34	-4	9	-68	10	826
8	29	7	31	-7	16	-89	8	834
8.1	23	14	29	-6	17	-91	3	837
8.2	17	17	26	-16	8	-52	48	885
8.3	17	15	24	-2	-15	29	24	908
