0.0	26	-11	30	-3	1	-1	12	12
0.0	26	-11	30	-1	0	-1	10	22
0.1.1	26	-11	30	-1	0	0	12	33
0.2.2	26	-11	30	-1	0	0	10	44
0.3.3	26	-10	30	-1	0	0	9	52
0.4.4	26	-11	30	3	0	1	7	59
0.5.5	26	-11	30	2	0	0	14	73
0.6.6	26	-11	30	4	0	0	13	87
0.7.7	26	-10	30	3	0	1	15	102
0.8.8	27	-9	30	1	0	0	8	110
0.9.9	25	-11	30	0	0	0	6	115
1.0	26	-10	29	0	0	0	10	126
1.1.1	26	-10	30	1	0	1	4	129
1.2.2	26	-6	27	-16	4	-1	8	137
1.3.3	25	-14	32	7	3	5	31	168
1.4.4	25	-13	31	-9	0	2	29	197
1.5.5	24	-11	28	8	6	0	34	231
1.6.6	25	-11	29	-6	-1	-1	34	266
1.7.7	25	-12	30	-11	0	-2	32	298
1.8.8	25	-12	30	-6	0	1	31	329
1.9.9	24	-15	32	5	-1	-3	20	348
2.0	26	-12	31	2	-2	-4	10	359
2.1.1	24	-13	30	13	-2	-1	15	374
2.2.2	27	-10	30	7	1	1	11	385
2.3.3	25	-12	30	-3	1	-2	6	390
2.4.4	25	-12	30	-2	0	0	4	395
2.5.5	25	-11	30	1	1	0	12	407
2.6.6	25	-12	30	4	1	1	19	426
2.7.7	26	-11	30	-2	1	2	49	475
2.8.8	25	-12	30	-1	0	0	37	512
2.9.9	25	-12	30	-1	3	0	45	557
3.0	24	-12	30	-2	2	0	45	602
3.1.1	25	-12	30	-5	-1	-1	46	649
3.2.2	25	-15	32	-20	-4	-6	35	684
3.3.3	27	-11	31	9	-4	-5	24	707
3.4.4	27	-11	32	3	-2	-3	30	737
3.5.5	27	-11	31	18	0	-3	25	762
3.6.6	28	-9	31	5	2	4	27	789


