3	9	10	1	1	-2	11	11
2	12	12	-2	-1	-3	5	16
3	11	12	4	-2	-2	8	24
3	13	13	5	1	-1	4	28
2	13	14	3	-1	0	4	32
3	14	14	-1	-1	2	10	42
1	12	12	-2	-2	3	18	59
3	10	11	-6	-4	2	35	95
4	11	12	2	-2	1	24	118
4	12	12	1	-3	-1	35	153
4	12	12	2	-3	-2	47	200
4	11	12	1	-1	-2	41	241
4	11	12	0	1	-1	27	268
3	13	13	-2	1	-4	36	304
5	13	14	6	-6	-4	38	341
3	10	11	-1	-4	-3	44	385
4	11	12	3	1	0	68	453
6	12	13	8	-2	2	84	538
7	15	17	9	0	3	36	573
3	11	11	-6	0	1	40	613
4	15	16	0	0	3	51	664
4	12	13	6	-1	0	22	686
2	14	15	3	0	1	46	732
7	13	15	-1	-1	2	27	759
3	13	14	-6	2	-1	64	823
10	15	18	4	-1	7	45	867
9	16	19	2	-2	3	73	941
4	15	16	0	-2	2	59	1000
8	13	16	-9	0	-4	22	1022
7	12	14	1	3	-4	9	1031
5	10	12	-6	3	-4	9	1040

